Jornada,Local,Data,Adversário,Golo,Marcador,Minutos,Minutos Extra,Assitência,Bola Parada,Tipo Golo,Local Golo,Prespetiva Baliza
14,Casa,23/12/2018,Braga,Braga,Dyego Sousa,50,0,Sequeira,,cabeça,grande área,esquerda
14,Casa,23/12/2018,Braga,Benfica,Jonas,53,0,Cervi,,pé direito,grande área,centro
14,Casa,23/12/2018,Braga,Benfica,Cervi,62,0,Zivkovic,,pé esquerdo,grande área,direita
14,Casa,23/12/2018,Braga,Benfica,André Almeida,66,0,resalto,,pé esquerdo,fora da área,centro
14,Casa,23/12/2018,Braga,Braga,João Novais,72,0,Fransérgio,,pé direito,fora da área,centro
15,Fora,02/01/2019,Portimonense,Portimonense,Rúben Dias,11,0,própria baliza,,pé direito,grande área,esquerda
15,Fora,02/01/2019,Portimonense,Portimonense,Jardel,37,0,própria baliza,,cabeça,pequena área,centro
16,Casa,06/01/2019,Rio Ave,Rio Ave,Gabrielzinho,16,0,Galeno,,pé direito,pequena área,centro
16,Casa,06/01/2019,Rio Ave,Rio Ave,Moreira,19,0,Reis,,cabeça,pequena área,centro
16,Casa,06/01/2019,Rio Ave,Benfica,Seferovic,26,0,Grimaldo,,pé esquerdo,grande área,centro
16,Casa,06/01/2019,Rio Ave,Benfica,J. Félix,30,0,Seferovic,,pé direito,grande área,centro
16,Casa,06/01/2019,Rio Ave,Benfica,J. Félix,63,0,Zivkovic,,pé direito,grande área,esquerda
16,Casa,06/01/2019,Rio Ave,Benfica,Seferovic,69,0,Pizzi,,pé esquerdo,grande área,direita
17,Fora,11/01/2019,Santa Clara,Benfica,Seferovic,21,0,André Almeida,,pé esquerdo,grande área,centro
17,Fora,11/01/2019,Santa Clara,Benfica,Jardel,47,0,Pizzi,canto,cabeça,grande área,centro
18,Fora,18/01/2019,Guimarães,Benfica,Seferovic,80,0,André Almeida,,pé esquerdo,pequena área,centro
19,Casa,29/01/2019,Boavista,Benfica,J. Félix,8,0,Pizzi,livre indireto,cabeça,pequena área,esquerda
19,Casa,29/01/2019,Boavista,Benfica,Pizzi,27,0,resalto,,pé direito,pequena área,direita
19,Casa,29/01/2019,Boavista,Boavista,Talocha,41,0,G. Cardoso,,pé esquerdo,grande área,centro
19,Casa,29/01/2019,Boavista,Benfica,Seferovic,53,0,J. Félix,,pé esquerdo,grande área,centro
19,Casa,29/01/2019,Boavista,Benfica,Seferovic,71,0,resalto,,pé esquerdo,pequena área,esquerda
19,Casa,29/01/2019,Boavista,Benfica,Grimaldo,86,0,Gedson,,pé esquerdo,fora da área,esquerda
